"year","floor 26-31","floor 15-25","floor 8-14","floor 1-7"
 2016, 15.0, 15.0, 15.0, 15.0
2017,15.0,15.0,15.0,15.0
2018,15.0,15.0,15.0,15.0
2019,15.0,15.0,15.0,15.0
2020,15.0,15.0,15.0,15.0
2021,18.302850599219507,16.472565539297555,16.472565539297555,16.472565539297555
2022,18.4858791052117,16.472565539297555,16.472565539297555,16.472565539297555
2023,18.670737896263816,16.472565539297555,16.472565539297555,16.472565539297555
2024,18.857445275226457,16.472565539297555,16.472565539297555,16.472565539297555
2025,19.04601972797872,16.472565539297555,16.472565539297555,16.472565539297555
2026,19.236479925258507,16.472565539297555,16.472565539297555,16.472565539297555
2027,19.428844724511094,16.472565539297555,16.472565539297555,16.472565539297555
2028,19.623133171756205,16.472565539297555,16.472565539297555,16.472565539297555
2029,19.819364503473768,16.472565539297555,16.472565539297555,16.472565539297555
2030,20.017558148508506,16.472565539297555,16.472565539297555,16.472565539297555
2031,20.21773372999359,16.472565539297555,16.472565539297555,16.472565539297555
2032,20.419911067293526,16.472565539297555,16.472565539297555,16.472565539297555
2033,20.62411017796646,16.472565539297555,16.472565539297555,16.472565539297555
2034,20.830351279746125,16.472565539297555,16.472565539297555,16.472565539297555
2035,21.03865479254359,16.472565539297555,16.472565539297555,16.472565539297555
2036,21.249041340469024,16.472565539297555,16.472565539297555,16.472565539297555
2037,21.461531753873714,16.472565539297555,16.472565539297555,16.472565539297555
2038,21.67614707141245,16.472565539297555,16.472565539297555,16.472565539297555
2039,21.892908542126577,16.472565539297555,16.472565539297555,16.472565539297555
2040,22.111837627547843,16.472565539297555,16.472565539297555,16.472565539297555
2041,22.33295600382332,16.472565539297555,16.472565539297555,16.472565539297555
2042,22.556285563861554,16.472565539297555,16.472565539297555,16.472565539297555
2043,22.78184841950017,16.472565539297555,16.472565539297555,16.472565539297555
2044,23.009666903695173,16.472565539297555,16.472565539297555,16.472565539297555
2045,23.239763572732127,16.472565539297555,16.472565539297555,16.472565539297555
